Name,Total,Ticket_Value,Price,Maturity,Rate,Payment_Date,Place,Institution,Payment_Method,Issuing_Method,Type
2003年记帐式(三期)国债,260.0000,100.00,100.00,20,3.4,4.17,银行间,财政部,半年付,荷兰式招标,固定
2003年记账式(四期)国债,260.0000,100.00,100.00,5,2.45,4.24,银行间,财政部,年付,荷兰式招标,固定
2003年记账式(五期)国债,260.0000,100.00,100.00,3,2.32,6.23,银行间,财政部,年付,荷兰式招标,固定
2003年记账式(六期)国债,260.0000,100.00,100.00,5,2.53,7.25,银行间,财政部,年付,荷兰式招标,固定
2003年记帐式(七期)国债,460.0000,100.00,100.00,7,2.66,8.20,银行间,财政部,年付,荷兰式招标,固定
2003年记帐式(八期)国债,163.8000,100.00,100.00,10,3.02,9.17,银行间,财政部,年付,荷兰式招标,固定
2003年记帐式（九期）国债,220.0000,100.00,,,,,,,,,
2003年记帐式（十期）国债,220.0000,100.00,100.00,2,2.77,11.10,银行间,财政部,年付,利率招标,固定
2003年记帐式（十一期）国债,360.0000,100.00,100.00,7,3.5,11.19,银行间,财政部,年付,荷兰式招标,固定
2003年记帐式（十二期）国债,255.0000,100.00,97.51,1,0,12.11,银行间,财政部,贴现,荷兰式招标,贴现
2003年记帐式(十三期)国债,100.0000,100.00,,,,,,,,,
2003年转换国债,1663.5700,100.00,100.00,30,1.64,12.15,银行间,财政部,年付,荷兰式招标,固定
2004年记帐式（一期）国债,381.6000,100.00,97.70,1,0,3.15,银行间,财政部,贴现,荷兰式招标,贴现
2004年记帐式（二期）国债,267.6000,100.00,100.00,3,3.2,4.9,银行间,财政部,年付,荷兰式招标,固定
2004年记帐式（三期）国债,641.6000,100.00,100.00,5,4.4164,4.20,银行间,财政部,年付,荷兰式招标,固定
2004年记账式（四期）国债,367.5000,100.00,100.00,7,4.89,5.25,银行间,财政部,年付,荷兰式招标,固定
2004年记账式（五期）国债,332.3000,100.00,93.76,2,0,6.15,银行间,财政部,贴现,荷兰式招标,贴现
2004年记帐式（六期）国债,242.4000,100.00,,,,,,,,,
2004年记帐式（七期）国债,372.9000,100.00,100.00,7,4.71,8.25,银行间,财政部,年付,多种价格（混合式）招标,固定
2004年记账式(八期)国债,336.1000,100.00,100.00,5,4.3,10.20,银行间,财政部,年付,荷兰式招标,固定
2004年记账式(九期)国债,253.2000,100.00,99.42,0.25,0,11.4,银行间,财政部,贴现,荷兰式招标,贴现
2004年记账式（十期）国债,389.1000,100.00,100.00,7,4.86,11.25,银行间,财政部,年付,多种价格（混合式）招标,固定
2004年记账式(十一期)国债,256.6000,100.00,100.00,2,2.98,12.15,银行间,财政部,年付,荷兰式招标,固定
2005年记账式（一期）国债,300.0000,100.00,,,,,,,,,
2005年记账式（二期）国债,300.0000,100.00,97.93,1,0,3.15,银行间,财政部,贴现,多种价格（混合式）招标,贴现
2005年记账式（三期）国债,333.9000,100.00,100.00,5,3.30,4.26,银行间,财政部,年付,多种价格（混合式）招标,固定
2005年记账式(四期)国债,339.2000,100.00,,,,,,,,,
2005年记账式（五期）国债,337.8000,100.00,100.00,7,3.37,5.25,银行间,财政部,年付,多种价格（混合式）招标,固定
2005年记账式（六期）国债,353.8000,100.00,98.62,1,0,6.15,银行间,财政部,贴现,美国式招标,贴现
2005年记账式(七期)国债,350.8000,100.00,100.00,2,1.58,7.15,银行间,财政部,年付,荷兰式招标,固定
2005年记账式（八期）国债,324.5000,100.00,100.00,3,1.93,8.15,银行间,财政部,年付,多种价格（混合式）招标,固定
2005年记账式（九期）国债,319.4000,100.00,0.00,7,2.83,8.25,银行间,财政部,年付,荷兰式招标,固定
2005年记账式(十期)国债,331.7000,100.00,98.87,1,0,9.15,银行间,财政部,贴现,荷兰式招标,贴现
2005年记账式（十一期）国债,333.5000,100.00,100.00,5,2.14,10.20,银行间,财政部,年付,多种价格（混合式）招标,固定
2005年记账式（十二期）国债,344.1000,100.00,,,,,,,,,
2005年记账式（十三期）国债,328.4000,100.00,100.00,7,3.01,11.25,银行间,财政部,年付,多种价格（混合式）招标,固定
2005年记账式（十四期）国债,333.9000,100.00,100.00,2,1.75,12.15,银行间,财政部,年付,多种价格（混合式）招标,固定
2005年记账式（十五期）国债,411.0000,100.00,99.66,0.25,0,12.26,银行间,财政部,贴现,荷兰式招标,贴现
2006年记账式(一期)国债,330.0000,100.00,100.00,7,2.51,2.27,银行间,财政部,年付,荷兰式招标,固定
2006年记账式(二期)国债,330.0000,100.00,99.67,0.25,0,3.16,银行间,财政部,贴现,荷兰式招标,贴现
2006年记账式（三期）国债,340.0000,100.00,100.00,10,2.8,3.27,银行间,财政部,半年付,荷兰式招标,固定
2006年记账式（四期）国债,309.6000,100.00,100.00,3,2.12,4.17,银行间,财政部,年付,多种价格（混合式）招标,固定
2006年记账式,308.0000,100.00,100.00,5,2.4,5.16,银行间,财政部,年付,荷兰式招标,固定
2006年记账式（六期）国债,305.6000,100.00,100.00,7,2.62,5.25,银行间,财政部,年付,荷兰式招标,固定
2006年记账式（七期）国债,300.0000,100.00,99.60,0.25,0,6.6,银行间,财政部,贴现,荷兰式招标,贴现
2006年记账式（八期）国债,325.7000,100.00,100.00,1,1.924,6.15,银行间,财政部,年付,荷兰式招标,固定
2006年记账式（九期）国债,310.9000,100.00,,,,,,,,,
2006年记账式（十期）国债,319.8000,100.00,100.00,3,2.34,7.17,银行间,财政部,年付,荷兰式招标,固定
2006年记账式（十一期）国债,300.0000,100.00,98.94,0.5,0,7.25,银行间,财政部,月付,荷兰式招标,
2006年记账式（十二期）国债,300.0000,100.00,100.00,5,2.72,8.15,银行间,财政部,年付,荷兰式招标,固定
2006年记账式（十三期）国债,331.1000,100.00,100.00,7,2.89,8.31,银行间,财政部,年付,荷兰式招标,固定
06年记账式(十四期)国债,300.0000,100.00,99.56,0.25,0,9.5,银行间,财政部,贴现,荷兰式招标,贴现
2006年记账式（十五期）国债,306.1000,100.00,100.00,1,1.958,9.15,银行间,财政部,年付,荷兰式招标,固定
2006年记账式（十六期）国债,300.0000,100.00,100.00,10,2.92,9.26,银行间,财政部,半年付,荷兰式招标,固定
2006年记账式（十七期）国债,310.6000,100.00,100.00,3,2.29,10.16,银行间,财政部,年付,荷兰式招标,固定
2006年记账式(十八期)国债,300.0000,100.00,100.00,5,2.48,10.25,银行间,财政部,年付,荷兰式招标,固定
2006年记账式（十九期）国债,300.0000,100.00,100.00,15,3.27,11.15,银行间,财政部,年付,荷兰式招标,固定
2006年记账式(二十期)国债,345.9000,100.00,100.00,7,2.91,11.27,银行间,财政部,年付,荷兰式招标,固定
2006年记账式(二十一）期国债,260.0000,100.00,99.49,0.25,0,12.14,银行间,财政部,贴现,荷兰式招标,贴现
2007年特别国债（一期）,6000.0000,100.00,100.00,10,4.3,8.29,银行间,财政部,月付,荷兰式招标,固定
2007年特别国债（二期）,319.7000,100.00,100.00,15,4.68,9.17,银行间,财政部,年付,荷兰式招标,固定
2007年特别国债（三期）,350.9000,100.00,100.00,10,4.46,09.24,银行间,财政部,半年付,荷兰式招标,固定
2007年特别国债（四期）,363.2000,100.00,100.00,15,4.55,09.29,银行间,财政部,半年付,荷兰式招标,固定
2007年特别国债（五期）,349.7000,100.00,100.00,10,4.49,11.05,银行间,财政部,半年付,荷兰式招标,固定
2007年特别国债（六期）,355.6000,100.00,100.00,15,4.69,11.19,银行间,财政部,半年付,荷兰式招标,固定
2007年特别国债（七期）,7500.0000,100.00,100.00,15,4.45,12.11,银行间,财政部,半年付,荷兰式招标,固定
2007年特别国债（八期）,263.1800,100.00,100.00,10,4.41,12.17,银行间,财政部,半年付,荷兰式招标,固定
2007年记账式(一期)国债,300.0000,100.00,100.00,7,2.93,2.6,银行间,财政部,年付,荷兰式招标,固定
2007年记账式（二期）国债,260.0000,100.00,100.00,1,2.1,3.15,银行间,财政部,月付,荷兰式招标,固定
2007年记账式（三期）国债,300.0000,100.00,100.00,10,3.4,3.22,银行间,财政部,月付,荷兰式招标,固定
2007年记账式（四期）国债,306.0000,100.00,100.00,3,2.77,4.16,银行间,财政部,年付,荷兰式招标,固定
2007年记账式（五期）国债,300.0000,100.00,100.00,5,3.18,4.23,银行间,财政部,年付,荷兰式招标,固定
2007年记账式（六期）国债,300.0000,100.00,100.00,30,4.27,5.17,银行间,财政部,年付,荷兰式招标,固定
2007年记账式（七期）国债,337.8000,100.00,100.00,7,3.74,5.24,银行间,财政部,年付,荷兰式招标,固定
2007年记账式（八期）国债,300.0000,100.00,99.44,0.25,0,6.7,银行间,财政部,贴现,荷兰式招标,贴现
2007年记账式(九期)国债,301.5000,100.00,100.00,1,2.61,6.14,银行间,财政部,一次还本息,荷兰式招标,固定单利
2007年记账式（十期）国债,350.7000,100.00,100.00,10,4.40,06.25,银行间,财政部,半年付,荷兰式招标,固定
2007年记账式（十一期）国债,383.8000,100.00,100.00,3,3.53,07.16,银行间,财政部,年付,荷兰式招标,固定
2007年记账式（十二期）国债,280.0000,100.00,98.65,0.5,0,07.26,银行间,财政部,贴现,荷兰式招标,贴现
2007年记账式（十三期）国债,280.0000,100.00,100.00,20,4.52,08.16,银行间,财政部,半年付,荷兰式招标,固定
2007年记账式（十四期）国债,326.9000,100.00,100.00,7,3.90,08.23,银行间,财政部,年付,荷兰式招标,固定
2007年记账式（十五期）国债,280.0000,100.00,99.41,0.25,0,09.06,银行间,财政部,贴现,荷兰式招标,贴现
2007年记账式（十六期）国债,280.0000,100.00,100.00,1,2.95,09.13,银行间,财政部,年付,荷兰式招标,固定
2007年记账式（十七期）国债,280.0000,100.00,100.00,5,4.00,10.22,银行间,财政部,年付,荷兰式招标,固定
2007年记账式(十八期)国债,324.7000,100.00,100.00,7,4.35,11.26,银行间,财政部,年付,荷兰式招标,固定
2007年记账式（十九期）国债,300.0000,100.00,99.20,0.25,0,12.06,银行间,财政部,贴现,荷兰式招标,贴现
2007年记账式（二十期）国债,260.0000,100.00,100.00,1,3.66,12.13,银行间,财政部,一次还本息,荷兰式招标,固定单利
2008年记账式（一期）国债,289.7000,100.00,100.00,7,3.95,02.13,银行间,财政部,年付,荷兰式招标,固定
2008年记账式（二期）国债,280.0000,100.00,100.00,15,4.16,02.28,银行间,财政部,半年付,荷兰式招标,固定
2008年记账式（三期）国债,279.4000,100.00,,,,,,,,,
2008年记账式(四期)国债,260.7000,100.00,100.00,3,3.56,4.14,银行间,财政部,年付,荷兰式招标,固定
2008年记账式（五期）国债,280.0000,100.00,100.00,5,3.69,4.21,银行间,财政部,年付,荷兰式招标,固定
2008年记账式（六期）国债,280.0000,100.00,100.00,30,4.5,5.8,银行间,财政部,年付,荷兰式招标,固定
2008年记账式(七期)国债,271.5000,100.00,100.00,7,4.01,5.19,银行间,财政部,年付,荷兰式招标,固定
2008年记账式(八期)国债,280.0000,100.00,99.22,0.25,0,5.26,银行间,财政部,贴现,荷兰式招标,贴现
2008年记账式(九期)国债,271.1000,100.00,100.00,1,3.42,6.10,银行间,财政部,年付,荷兰式招标,固定
2008年记账式（十期）国债,266.5000,100.00,100.00,10,4.41,6.23,银行间,财政部,年付,荷兰式招标,固定
2008年记账式（十一期）国债,245.9000,100.00,100.00,3,3.92,07.14,银行间,财政部,年付,荷兰式招标,固定
2008年记账式（十二期）国债,260.0000,100.00,98.35,0.5,0,07.24,银行间,财政部,贴现,美国式招标,贴现
2008年记账式(十三期)国债,240.0000,100.00,100.00,20,4.94,8.11,银行间,财政部,半年付,荷兰式招标,固定
2008年记账式（十四期）国债,266.0000,100.00,100.00,7,4.23,8.18,银行间,财政部,年付,荷兰式招标,固定
2008年记账式（十五期）国债,200.0000,100.00,99.22,0.25,0,8.25,银行间,财政部,贴现,美国式招标,贴现
2008年记账式（十六期）国债,259.9000,100.00,100.00,1,3.34,9.8,银行间,财政部,年付,荷兰式招标,固定
2008年记账式（十七期）国债,260.0000,100.00,100.00,5,3.69,9.16,银行间,财政部,年付,荷兰式招标,固定
2008年记账式(十八期)国债,243.6000,100.00,100.00,10,3.68,9.22,银行间,财政部,半年付,多种价格（混合式）招标,固定
2008年记账式(十九期)国债,233.8000,100.00,100.00,3,2.64,10.13,银行间,财政部,年付,荷兰式招标,固定
2008年记账式(二十期)国债,240.0000,100.00,100.00,30,3.91,10.23,银行间,财政部,年付,多种价格（混合式）招标,固定
2008年记账式(二十一期)国债,240.0000,100.00,99.52,0.25,0,11.13,银行间,财政部,贴现,美国式招标,贴现
2008年记账式(二十二期)国债,225.0000,100.00,100.00,7,2.71,11.24,银行间,财政部,年付,多种价格（混合式）招标,固定
2008年记账式(二十三期)国债,240.0000,100.00,100.00,15,3.62,11.27,银行间,财政部,半年付,荷兰式招标,固定
2008年记账式(二十四期)国债,238.2000,100.00,100.00,1,1.28,12.08,银行间,财政部,年付,多种价格（混合式）招标,固定
2008年记账式(二十五期)国债,253.7000,100.00,100.00,10,2.9,12.15,银行间,财政部,半年付,多种价格（混合式）招标,固定
2008年记账式(二十六期)国债,260.0000,100.00,100.00,5,1.77,12.18,银行间,财政部,年付,多种价格（混合式）招标,固定
2009年记账式(一期)国债,269.3000,100.00,100.00,7,2.76,2.12,银行间,财政部,年付,多种价格（混合式）招标,固定
2009年记账式(二期)国债,220.0000,100.00,100.00,20,3.86,2.19,银行间,财政部,半年付,多种价格（混合式）招标,固定
2009年记账式(三期)国债,260.0000,100.00,100.00,10,3.05,3.12,银行间,财政部,半年付,荷兰式招标,固定
2009年记账式附息（四期）国债,564.3000,100.00,99.69,5,0,4.2,银行间,财政部,年付,荷兰式招标,固定
2009年记账式附息(五期)国债,220.0000,100.00,,,,,,,,,
2009年记账式附息(六期)国债,252.1000,100.00,100.00,7,2.82,4.16,银行间,财政部,年付,多种价格（混合式）招标,固定
2009年记账式附息（七期）国债,277.6000,100.00,100.00,10,3.02,5.7,银行间,财政部,半年付,荷兰式招标,固定
2009年记账式附息(八期)国债,285.9000,100.00,100.00,1,0.89,5.14,银行间,财政部,年付,荷兰式招标,固定
2009年记账式附息（九期）国债,273.0000,100.00,100.00,3,1.55,5.21,银行间,财政部,年付,荷兰式招标,固定
2009年记账式附息(十期)国债,295.0000,100.00,100.00,5,2.26,6.4,银行间,财政部,年付,多种价格（混合式）招标,固定
2009年记账式附息(十一期)国债　,280.0000,100.00,100.00,15,3.69,6.11,银行间,财政部,年付,多种价格（混合式）招标,固定
2009年记账式附息(十二期)国债,282.7000,100.00,100.00,10,3.09,6.18,银行间,财政部,半年付,荷兰式招标,固定
2009年记账式附息（十三期）国债,280.0000,100.00,100.00,7,2.82,6.25,银行间,财政部,年付,荷兰式招标,固定
2009年记账式附息（十四期）国债,275.2000,100.00,100.00,1,1.06,7.9,银行间,财政部,年付,荷兰式招标,固定
2009年记账式附息(十五期)国债,280.0000,100.00,100.00,3,2.22,7.16,银行间,财政部,年付,多种价格（混合式）招标,固定
2009年记账式附息(十六期)国债,283.0000,100.00,100.00,10,3.48,7.23,银行间,财政部,年付,多种价格（混合式）招标,固定
2009年记账式附息(十七期)国债,260.0000,100.00,100.00,7,3.15,7.30,银行间,财政部,年付,多种价格（混合式）招标,固定
2009年记账式附息(十八期)国债,275.8000,100.00,100.00,5,2.97,8.6,银行间,财政部,年付,多种价格（混合式）招标,固定
2009年记账式附息(十九期)国债,267.3000,100.00,100.00,7,3.17,8.20,银行间,财政部,年付,多种价格（混合式）招标,固定
2009年记账式附息(二十期)国债,260.0000,100.00,100.00,20,4,8.27,银行间,财政部,年付,多种价格（混合式）招标,固定
2009年记账式附息(二十一期)国债,285.4000,100.00,100.00,1,1.46,9.3,银行间,财政部,年付,荷兰式招标,固定
2009年记账式附息（二十二期）国债,268.6000,100.00,100.00,3,2.18,9.10,银行间,财政部,年付,荷兰式招标,固定
2009年记账式附息(二十三期)国债,266.4000,100.00,100.00,10,3.44,9.17,银行间,财政部,半年付,多种价格（混合式）招标,固定
2009年记账式附息（二十四期）国债,268.0000,100.00,100.00,5,2.9,9.24,银行间,财政部,年付,荷兰式招标,固定
2009年记账式附息（二十五期）国债,240.0000,100.00,100.00,30,4.18,10.15,银行间,财政部,年付,荷兰式招标,固定
2009年记账式附息(二十六期)国债,2743.9000,100.00,100.00,7,3.4,10.22,银行间,财政部,年付,多种价格（混合式）招标,固定
2009年记账式附息(二十七期)国债,272.4000,100.00,100.00,10,3.68,11.5,银行间,财政部,年付,荷兰式招标,固定
2009年记账式附息(二十八期)国债,273.4000,100.00,100.00,1,1.44,11.12,银行间,财政部,年付,荷兰式招标,固定
2009年记账式附息(二十九期)国债,276.3000,100.00,100.00,3,2.42,11.19,银行间,财政部,年付,多种价格（混合式）招标,固定
2009年记账式附息(三十期)国债,200.0000,100.00,,,,,,,,,
2009年记账式附息(三十一期)国债,273.9000,100.00,100.00,5,2.9,12.3,银行间,财政部,年付,荷兰式招标,固定
2009年记账式附息（三十二期）国债,271.2000,100.00,100.00,7,3.22,12.17,银行间,财政部,年付,荷兰式招标,固定
2009年北京市政府债券,56.0000,100.00,100.00,3,1.67,5.25,银行间,北京市政府,年付,荷兰式招标,固定
2009年天津市政府债券,26.0000,100.00,100.00,3,1.78,4.14,银行间,天津市政府,年付,荷兰式招标,固定
2009年河北省政府债券（一期）,40.0000,100.00,100.00,3,1.8,4.30,银行间,河北省政府,年付,荷兰式招标,固定
2009年河北省政府债券(二期),20.0000,100.00,100.00,3,2.24,9.7,银行间,河北省政府,年付,荷兰式招标,固定
2009年山西省政府债券,53.0000,100.00,100.00,3,1.76,6.29,银行间,山西省政府,年付,荷兰式招标,固定
2009年内蒙古自治区政府债券（一期）,30.0000,100.00,100.00,3,1.8,4.30,银行间,内蒙古自治区政府,年付,荷兰式招标,固定
2009年内蒙古自治区政府债券(二期),27.0000,100.00,100.00,3,2.36,8.31,银行间,内蒙古自治区政府,年付,荷兰式招标,固定
2009年辽宁省政府债券（一期）,30.0000,100.00,100.00,3,1.75,4.14,银行间,辽宁省政府,年付,荷兰式招标,固定
2009年辽宁省政府债券（二期）,26.0000,100.00,100.00,3,1.79,7.7,银行间,辽宁省政府,年付,荷兰式招标,固定
2009年大连市政府债券,10.0000,100.00,100.00,3,1.71,5.14,银行间,大连市政府,年付,荷兰式招标,固定
2009年吉林省政府债券（一期）,30.0000,100.00,100.00,3,1.82,4.23,银行间,吉林省政府,年付,荷兰式招标,固定
2009年吉林省政府债券(二期),25.0000,100.00,100.00,3,2.36,8.31,银行间,吉林省政府,年付,荷兰式招标,固定
2009年黑龙江省政府债券（一期）,30.0000,100.00,100.00,3,1.77,5.11,银行间,黑龙江省政府,年付,荷兰式招标,固定
2009年黑龙江省政府债券(二期),30.0000,100.00,100.00,3,2.36,8.31,银行间,黑龙江省政府,年付,荷兰式招标,固定
2009年上海市政府债券(一期),40.0000,100.00,100.00,3,1.67,5.25,银行间,上海市政府,年付,荷兰式招标,固定
2009年上海市政府债券(二期),36.0000,100.00,100.00,3,2.24,9.7,银行间,上海市政府,年付,荷兰式招标,固定
2009年江苏省政府债券,84.0000,100.00,100.00,3,1.82,4.20,银行间,江苏省政府,年付,荷兰式招标,固定
2009年浙江省政府债券(一期),40.0000,100.00,100.00,3,1.77,5.11,银行间,浙江省政府,年付,荷兰式招标,固定
2009年浙江省政府债券(二期),27.0000,100.00,100.00,3,2.24,9.7,银行间,浙江省政府,年付,荷兰式招标,固定
2009年宁波市政府债券,15.0000,100.00,100.00,3,1.79,7.7,银行间,宁波市政府,年付,荷兰式招标,固定
2009年安徽省政府债券(一期),40.0000,100.00,100.00,3,1.6,4.1,银行间,安徽省政府,年付,荷兰式招标,固定
2009年安徽省政府债券(二期)　,37.0000,100.00,100.00,3,1.72,6.15,银行间,安徽省政府,年付,荷兰式招标,固定
2009年福建省政府债券,26.0000,100.00,100.00,3,1.7,6.9,银行间,福建省政府,年付,荷兰式招标,固定
2009年厦门市政府债券,8.0000,100.00,100.00,3,1.75,6.23,银行间,厦门市政府,年付,荷兰式招标,固定
2009年江西省政府债券上市,62.0000,100.00,100.00,3,1.72,6.15,银行间,江西省政府,年付,荷兰式招标,固定
2009年山东省政府债券（一期）,30.0000,100.00,100.00,3,1.8,4.16,银行间,山东省政府,年付,荷兰式招标,固定
2009年山东省政府债券(二期),29.0000,100.00,100.00,3,1.79,7.7,银行间,山东省政府,年付,荷兰式招标,固定
2009年青岛市政府债券,11.0000,100.00,100.00,3,1.82,4.23,银行间,青岛市政府,年付,荷兰式招标,固定
2009年河南省政府债券（一期）,50.0000,100.00,100.00,3,1.63,4.7,银行间,河南省政府,年付,荷兰式招标,固定
2009年河南省政府债券（二期）,38.0000,100.00,100.00,3,1.67,5.25,银行间,河南省政府,年付,荷兰式招标,固定
2009年湖北省政府债券（一期）,50.0000,100.00,100.00,3,1.82,4.23,银行间,湖北省政府,年付,荷兰式招标,固定
2009年湖北省政府债券（二期）,31.0000,100.00,100.00,3,1.71,5.14,银行间,湖北省政府,年付,荷兰式招标,固定
2009年湖南省政府债券　,82.0000,100.00,100.00,3,1.7,6.9,银行间,湖南省政府,年付,荷兰式招标,固定
2009年广东省政府债券,85.0000,100.00,100.00,3,1.75,6.23,银行间,广东省政府,年付,荷兰式招标,固定
2009年深圳市政府债券,24.0000,100.00,100.00,3,1.79,7.7,银行间,深圳市政府,年付,荷兰式招标,固定
2009年广西壮族自治区政府债券（一期）,35.0000,100.00,100.00,3,1.67,5.25,银行间,广西壮族自治区政府,年付,荷兰式招标,固定
2009年广西壮族自治区政府债券(二期),30.0000,100.00,100.00,3,2.36,8.31,银行间,广西壮族自治区政府,年付,荷兰式招标,固定
2009年海南省政府债券,29.0000,100.00,100.00,3,1.75,6.23,银行间,海南省政府,年付,荷兰式招标,固定
2009年重庆市政府债券,58.0000,100.00,100.00,3,1.7,4.13,银行间,重庆市政府,年付,荷兰式招标,固定
2009年四川省政府债券(一期),90.0000,100.00,100.00,3,1.65,4.8,银行间,四川省政府,年付,荷兰式招标,固定
2009年四川省政府债券(二期),90.0000,100.00,100.00,3,1.71,5.14,银行间,四川省政府,年付,荷兰式招标,固定
2009年贵州省政府债券,64.0000,100.00,100.00,3,1.72,6.15,银行间,贵州省政府,年付,荷兰式招标,固定
2009年云南省政府债券,84.0000,100.00,100.00,3,1.77,5.11,银行间,云南省政府,年付,荷兰式招标,固定
2009年陕西省政府债券（一期）,36.0000,100.00,100.00,3,1.8,4.30,银行间,陕西省政府,年付,荷兰式招标,固定
2009年陕西省政府债券（二期）,27.0000,100.00,100.00,3,2.24,9.7,银行间,陕西省政府,年付,荷兰式招标,固定
