Name,Total,Price,Maturity,Rate,Payment_Date,Place,Institution,Payment_Method,Issuing_Method,Type,Year,Payment_Interval,isGov,Real_Interest,Inflation,Duration
2002年记帐式(十二期)国债,191.0,100.0,3.0,2.3,9.18,银行间,财政部,年付,荷兰式招标,固定,2002,1.0,1,2.3,-0.8,2.9330568001460073
2002年记账式(十三期)国债,240.0,100.0,15.0,2.6,9.2,银行间,财政部,半年付,荷兰式招标,固定,2002,0.5,1,2.6168999999999887,-0.8,12.531155079676147
2002年记账式(十四期)国债,224.0,100.0,5.0,2.65,10.24,银行间,财政部,年付,荷兰式招标,固定,2002,1.0,1,2.65,-0.8,4.748420222140954
2002年记帐式(十五期)国债,600.0,100.0,7.0,2.93,12.6,银行间,财政部,年付,荷兰式招标,固定,2002,1.0,1,2.93,-0.8,6.429782293645336
2002年记账式(十六期)国债,368.1,99.88,2.0,2.3,12.16,银行间,财政部,年付,荷兰式招标,固定,2002,1.0,1,2.3,-0.8,1.979892978123113
2003年记账式(一期)国债,700.0,100.0,7.0,2.66,2.19,银行间,,年付,,固定,2003,1.0,0,2.66,1.2,6.4787721799041025
2003年记账式(二期)国债,260.0,100.0,10.0,2.8,4.9,银行间,财政部,年付,荷兰式招标,固定,2003,1.0,1,2.8,1.2,8.859236075589871
2003年记帐式(三期)国债,260.0,100.0,20.0,3.4,4.17,银行间,财政部,半年付,荷兰式招标,固定,2003,0.5,1,3.428899999999979,1.2,14.709185458231381
2003年记账式(四期)国债,260.0,100.0,5.0,2.45,4.24,银行间,财政部,年付,荷兰式招标,固定,2003,1.0,1,2.45,1.2,4.766509746036792
2003年记账式(五期)国债,260.0,100.0,3.0,2.32,6.23,银行间,财政部,年付,荷兰式招标,固定,2003,1.0,1,2.32,1.2,2.932492216541827
2003年记账式(六期)国债,260.0,100.0,5.0,2.53,7.25,银行间,财政部,年付,荷兰式招标,固定,2003,1.0,1,2.53,1.2,4.759257104041416
2003年记帐式(七期)国债,460.0,100.0,7.0,2.66,8.2,银行间,财政部,年付,荷兰式招标,固定,2003,1.0,1,2.66,1.2,6.4787721799041025
2003年记帐式(八期)国债,163.8,100.0,10.0,3.02,9.17,银行间,财政部,年付,荷兰式招标,固定,2003,1.0,1,3.02,1.2,8.77885222748913
2003年记帐式（九期）国债,220.0,,,,,,,,,,2003,0.0,0,0.0,1.2,0.0
2003年记帐式（十期）国债,220.0,100.0,2.0,2.77,11.1,银行间,财政部,年付,利率招标,固定,2003,1.0,1,2.77,1.2,1.9730466089325676
2003年记帐式（十一期）国债,360.0,100.0,7.0,3.5,11.19,银行间,财政部,年付,荷兰式招标,固定,2003,1.0,1,3.5,1.2,6.3285530197785045
2003年记帐式（十二期）国债,255.0,97.51,1.0,0.0,12.11,银行间,财政部,贴现,荷兰式招标,贴现,2003,1.0,1,2.553584247769458,1.2,1.0
2003年记帐式(十三期)国债,100.0,,,,,,,,,,2003,0.0,0,0.0,1.2,0.0
2003年转换国债,1663.57,100.0,30.0,1.64,12.15,银行间,财政部,年付,荷兰式招标,固定,2003,1.0,1,1.64,1.2,23.932052658740744
2004年记帐式（一期）国债,381.6,97.7,1.0,0.0,3.15,银行间,财政部,贴现,荷兰式招标,贴现,2004,1.0,1,2.3541453428863823,3.9,1.0
2004年记帐式（二期）国债,267.6,100.0,3.0,3.2,4.9,银行间,财政部,年付,荷兰式招标,固定,2004,1.0,1,3.2,3.9,2.9079382248662937
2004年记帐式（三期）国债,641.6,100.0,5.0,4.4164,4.2,银行间,财政部,年付,荷兰式招标,固定,2004,1.0,1,4.4164,3.9,4.594554042110835
2004年记账式（四期）国债,367.5,100.0,7.0,4.89,5.25,银行间,财政部,年付,荷兰式招标,固定,2004,1.0,1,4.89,3.9,6.09359631771501
2004年记账式（五期）国债,332.3,93.76,2.0,0.0,6.15,银行间,财政部,贴现,荷兰式招标,贴现,2004,2.0,1,3.2740480965034457,3.9,2.0
2004年记帐式（六期）国债,242.4,,,,,,,,,,2004,0.0,0,0.0,3.9,0.0
2004年记帐式（七期）国债,372.9,100.0,7.0,4.71,8.25,银行间,财政部,年付,多种价格（混合式）招标,固定,2004,1.0,1,4.71,3.9,6.123106703214992
2004年记账式(八期)国债,336.1,100.0,5.0,4.3,10.2,银行间,财政部,年付,荷兰式招标,固定,2004,1.0,1,4.3,3.9,4.604377075295412
2004年记账式(九期)国债,253.2,99.42,0.25,0.0,11.4,银行间,财政部,贴现,荷兰式招标,贴现,2004,0.25,1,2.3540342218520305,3.9,0.25
2004年记账式（十期）国债,389.1,100.0,7.0,4.86,11.25,银行间,财政部,年付,多种价格（混合式）招标,固定,2004,1.0,1,4.86,3.9,6.09849634014403
2004年记账式(十一期)国债,256.6,100.0,2.0,2.98,12.15,银行间,财政部,年付,荷兰式招标,固定,2004,1.0,1,2.98,3.9,1.9710623422023692
2005年记账式（一期）国债,300.0,,,,,,,,,,2005,0.0,0,0.0,1.8,0.0
2005年记账式（二期）国债,300.0,97.93,1.0,0.0,3.15,银行间,财政部,贴现,多种价格（混合式）招标,贴现,2005,1.0,1,2.113754722761141,1.8,1.0
2005年记账式（三期）国债,333.9,100.0,5.0,3.3,4.26,银行间,财政部,年付,多种价格（混合式）招标,固定,2005,1.0,1,3.3,1.8,4.690585477443775
2005年记账式(四期)国债,339.2,,,,,,,,,,2005,0.0,0,0.0,1.8,0.0
2005年记账式（五期）国债,337.8,100.0,7.0,3.37,5.25,银行间,财政部,年付,多种价格（混合式）招标,固定,2005,1.0,1,3.37,1.8,6.351382319128622
2005年记账式（六期）国债,353.8,98.62,1.0,0.0,6.15,银行间,财政部,贴现,美国式招标,贴现,2005,1.0,1,1.3993104846887094,1.8,1.0
2005年记账式(七期)国债,350.8,100.0,2.0,1.58,7.15,银行间,财政部,年付,荷兰式招标,固定,2005,1.0,1,1.58,1.8,1.9844457570387872
2005年记账式（八期）国债,324.5,100.0,3.0,1.93,8.15,银行间,财政部,年付,多种价格（混合式）招标,固定,2005,1.0,1,1.93,1.8,2.943554828867509
2005年记账式（九期）国债,319.4,0.0,7.0,2.83,8.25,银行间,财政部,年付,荷兰式招标,固定,2005,1.0,1,2.83,1.8,inf
2005年记账式(十期)国债,331.7,98.87,1.0,0.0,9.15,银行间,财政部,贴现,荷兰式招标,贴现,2005,1.0,1,1.142914938808537,1.8,1.0
2005年记账式（十一期）国债,333.5,100.0,5.0,2.14,10.2,银行间,财政部,年付,多种价格（混合式）招标,固定,2005,1.0,1,2.14,1.8,4.7948275668822244
2005年记账式（十二期）国债,344.1,,,,,,,,,,2005,0.0,0,0.0,1.8,0.0
2005年记账式（十三期）国债,328.4,100.0,7.0,3.01,11.25,银行间,财政部,年付,多种价格（混合式）招标,固定,2005,1.0,1,3.01,1.8,6.41539642824327
2005年记账式（十四期）国债,333.9,100.0,2.0,1.75,12.15,银行间,财政部,年付,多种价格（混合式）招标,固定,2005,1.0,1,1.75,1.8,1.9828009828009825
2005年记账式（十五期）国债,411.0,99.66,0.25,0.0,12.26,银行间,财政部,贴现,荷兰式招标,贴现,2005,0.25,1,1.3716390782749999,1.8,0.25
2006年记账式(一期)国债,330.0,100.0,7.0,2.51,2.27,银行间,财政部,年付,荷兰式招标,固定,2006,1.0,1,2.51,1.5,6.506283699944102
2006年记账式(二期)国债,330.0,99.67,0.25,0.0,3.16,银行间,财政部,贴现,荷兰式招标,贴现,2006,0.25,1,1.3309622912748065,1.5,0.25
2006年记账式（三期）国债,340.0,100.0,10.0,2.8,3.27,银行间,财政部,半年付,荷兰式招标,固定,2006,0.5,1,2.819600000000011,1.5,8.799444398535044
2006年记账式（四期）国债,309.6,100.0,3.0,2.12,4.17,银行间,财政部,年付,多种价格（混合式）招标,固定,2006,1.0,1,2.12,1.5,2.938151302070986
2006年记账式,308.0,100.0,5.0,2.4,5.16,银行间,财政部,年付,荷兰式招标,固定,2006,1.0,1,2.4,1.5,4.771054092794657
2006年记账式（六期）国债,305.6,100.0,7.0,2.62,5.25,银行间,财政部,年付,荷兰式招标,固定,2006,1.0,1,2.62,1.5,6.486087848742268
2006年记账式（七期）国债,300.0,99.6,0.25,0.0,6.6,银行间,财政部,贴现,荷兰式招标,贴现,2006,0.25,1,1.6161289017690317,1.5,0.25
2006年记账式（八期）国债,325.7,100.0,1.0,1.9240000000000002,6.15,银行间,财政部,年付,荷兰式招标,固定,2006,1.0,1,1.9240000000000002,1.5,1.0000000000000002
2006年记账式（九期）国债,310.9,,,,,,,,,,2006,0.0,0,0.0,1.5,0.0
2006年记账式（十期）国债,319.8,100.0,3.0,2.34,7.17,银行间,财政部,年付,荷兰式招标,固定,2006,1.0,1,2.34,1.5,2.931927926580551
2006年记账式（十一期）国债,300.0,98.94,0.5,0.0,7.25,银行间,财政部,月付,荷兰式招标,,2006,0.08333333333333333,1,0.0,1.5,0.5053567818880129
2006年记账式（十二期）国债,300.0,100.0,5.0,2.72,8.15,银行间,财政部,年付,荷兰式招标,固定,2006,1.0,1,2.72,1.5,4.742121920886673
2006年记账式（十三期）国债,331.1,100.0,7.0,2.89,8.31,银行间,财政部,年付,荷兰式招标,固定,2006,1.0,1,2.89,1.5,6.436997342201953
06年记账式(十四期)国债,300.0,99.56,0.25,0.0,9.5,银行间,财政部,贴现,荷兰式招标,贴现,2006,0.25,1,1.7795316891302315,1.5,0.25
2006年记账式（十五期）国债,306.1,100.0,1.0,1.9580000000000002,9.15,银行间,财政部,年付,荷兰式招标,固定,2006,1.0,1,1.9580000000000002,1.5,1.0
2006年记账式（十六期）国债,300.0,100.0,10.0,2.92,9.26,银行间,财政部,半年付,荷兰式招标,固定,2006,0.5,1,2.9413159999999827,1.5,8.753293352910964
2006年记账式（十七期）国债,310.6,100.0,3.0,2.29,10.16,银行间,财政部,年付,荷兰式招标,固定,2006,1.0,1,2.29,1.5,2.933339202131393
2006年记账式(十八期)国债,300.0,100.0,5.0,2.48,10.25,银行间,财政部,年付,荷兰式招标,固定,2006,1.0,1,2.48,1.5,4.763787367611402
2006年记账式（十九期）国债,300.0,100.0,15.0,3.27,11.15,银行间,财政部,年付,荷兰式招标,固定,2006,1.0,1,3.27,1.5,12.090953144983446
2006年记账式(二十期)国债,345.9,100.0,7.0,2.91,11.27,银行间,财政部,年付,荷兰式招标,固定,2006,1.0,1,2.91,1.5,6.433387970934653
2006年记账式(二十一）期国债,260.0,99.49,0.25,0.0,12.14,银行间,财政部,贴现,荷兰式招标,贴现,2006,0.25,1,2.0662776892907075,1.5,0.25
2007年特别国债（一期）,6000.0,100.0,10.0,4.3,8.29,银行间,财政部,月付,荷兰式招标,固定,2007,0.08333333333333333,1,4.385766283418802,4.8,8.17775858413824
2007年特别国债（二期）,319.7,100.0,15.0,4.68,9.17,银行间,财政部,年付,荷兰式招标,固定,2007,1.0,1,4.68,4.8,11.104312149056916
2007年特别国债（三期）,350.9,100.0,10.0,4.46,9.24,银行间,财政部,半年付,荷兰式招标,固定,2007,0.5,1,4.509728999999996,4.8,8.194880027898833
2007年特别国债（四期）,363.2,100.0,15.0,4.55,9.29,银行间,财政部,半年付,荷兰式招标,固定,2007,0.5,1,4.601756250000011,4.8,11.070098336725028
2007年特别国债（五期）,349.7,100.0,10.0,4.49,11.05,银行间,财政部,半年付,荷兰式招标,固定,2007,0.5,1,4.540400250000021,4.8,8.184595684781362
2007年特别国债（六期）,355.6,100.0,15.0,4.69,11.19,银行间,财政部,半年付,荷兰式招标,固定,2007,0.5,1,4.744990249999992,4.8,10.975770978298128
2007年特别国债（七期）,7500.0,100.0,15.0,4.45,12.11,银行间,财政部,半年付,荷兰式招标,固定,2007,0.5,1,4.499506250000018,4.8,11.138278194786448
2007年特别国债（八期）,263.18,100.0,10.0,4.41,12.17,银行间,财政部,半年付,荷兰式招标,固定,2007,0.5,1,4.458620249999989,4.8,8.212068875968917
2007年记账式(一期)国债,300.0,100.0,7.0,2.93,2.6,银行间,财政部,年付,荷兰式招标,固定,2007,1.0,1,2.93,4.8,6.429782293645336
2007年记账式（二期）国债,260.0,100.0,1.0,2.1,3.15,银行间,财政部,月付,荷兰式招标,固定,2007,0.08333333333333333,1,2.1203308718083402,4.8,0.9905560788739772
2007年记账式（三期）国债,300.0,100.0,10.0,3.4,3.22,银行间,财政部,月付,荷兰式招标,固定,2007,0.08333333333333333,1,3.453486936028982,4.8,8.512821550376088
2007年记账式（四期）国债,306.0,100.0,3.0,2.77,4.16,银行间,财政部,年付,荷兰式招标,固定,2007,1.0,1,2.77,4.8,2.9198663120877377
2007年记账式（五期）国债,300.0,100.0,5.0,3.18,4.23,银行间,财政部,年付,荷兰式招标,固定,2007,1.0,1,3.18,4.8,4.7011539431359015
2007年记账式（六期）国债,300.0,100.0,30.0,4.27,5.17,银行间,财政部,年付,荷兰式招标,固定,2007,1.0,1,4.27,4.8,17.45373589281915
2007年记账式（七期）国债,337.8,100.0,7.0,3.74,5.24,银行间,财政部,年付,荷兰式招标,固定,2007,1.0,1,3.74,4.8,6.286800325342824
2007年记账式（八期）国债,300.0,99.44,0.25,0.0,6.7,银行间,财政部,贴现,荷兰式招标,贴现,2007,0.25,1,2.2717147051757314,4.8,0.25
2007年记账式(九期)国债,301.5,100.0,1.0,2.61,6.14,银行间,财政部,一次还本息,荷兰式招标,固定单利,2007,1.0,1,2.61,4.8,1.0
2007年记账式（十期）国债,350.7,100.0,10.0,4.4,6.25,银行间,财政部,半年付,荷兰式招标,固定,2007,0.5,1,4.448399999999997,4.8,8.215513905833198
2007年记账式（十一期）国债,383.8,100.0,3.0,3.53,7.16,银行间,财政部,年付,荷兰式招标,固定,2007,1.0,1,3.53,4.8,2.8988733727619427
2007年记账式（十二期）国债,280.0,98.65,0.5,0.0,7.26,银行间,财政部,贴现,荷兰式招标,贴现,2007,0.5,1,2.755676030877008,4.8,0.5
2007年记账式（十三期）国债,280.0,100.0,20.0,4.52,8.16,银行间,财政部,半年付,荷兰式招标,固定,2007,0.5,1,4.571075999999996,4.8,13.428393743570895
2007年记账式（十四期）国债,326.9,100.0,7.0,3.9,8.23,银行间,财政部,年付,荷兰式招标,固定,2007,1.0,1,3.9,4.8,6.259245729902423
2007年记账式（十五期）国债,280.0,99.41,0.25,0.0,9.06,银行间,财政部,贴现,荷兰式招标,贴现,2007,0.25,1,2.3952250394694063,4.8,0.25
2007年记账式（十六期）国债,280.0,100.0,1.0,2.95,9.13,银行间,财政部,年付,荷兰式招标,固定,2007,1.0,1,2.95,4.8,0.9999999999999999
2007年记账式（十七期）国债,280.0,100.0,5.0,4.0,10.22,银行间,财政部,年付,荷兰式招标,固定,2007,1.0,1,4.0,4.8,4.629895224256853
2007年记账式(十八期)国债,324.7,100.0,7.0,4.35,11.26,银行间,财政部,年付,荷兰式招标,固定,2007,1.0,1,4.35,4.8,6.182929942863854
2007年记账式（十九期）国债,300.0,99.2,0.25,0.0,12.06,银行间,财政部,贴现,荷兰式招标,贴现,2007,0.25,1,3.2650385217282585,4.8,0.25
2007年记账式（二十期）国债,260.0,100.0,1.0,3.66,12.13,银行间,财政部,一次还本息,荷兰式招标,固定单利,2007,1.0,1,3.66,4.8,1.0
2008年记账式（一期）国债,289.7,100.0,7.0,3.95,2.13,银行间,财政部,年付,荷兰式招标,固定,2008,1.0,1,3.95,5.9,6.250680500841498
2008年记账式（二期）国债,280.0,100.0,15.0,4.16,2.28,银行间,财政部,半年付,荷兰式招标,固定,2008,0.5,1,4.2032639999999954,5.9,11.339866190304008
2008年记账式（三期）国债,279.4,,,,,,,,,,2008,0.0,0,0.0,5.9,0.0
2008年记账式(四期)国债,260.7,100.0,3.0,3.56,4.14,银行间,财政部,年付,荷兰式招标,固定,2008,1.0,1,3.56,5.9,2.8980531025205276
2008年记账式（五期）国债,280.0,100.0,5.0,3.69,4.21,银行间,财政部,年付,荷兰式招标,固定,2008,1.0,1,3.69,5.9,4.656572045343151
2008年记账式（六期）国债,280.0,100.0,30.0,4.5,5.8,银行间,财政部,年付,荷兰式招标,固定,2008,1.0,1,4.5,5.9,17.02188852878187
2008年记账式(七期)国债,271.5,100.0,7.0,4.01,5.19,银行间,财政部,年付,荷兰式招标,固定,2008,1.0,1,4.01,5.9,6.240430712024153
2008年记账式(八期)国债,280.0,99.22,0.25,0.0,5.26,银行间,财政部,贴现,荷兰式招标,贴现,2008,0.25,1,3.1818022228643716,5.9,0.25
2008年记账式(九期)国债,271.1,100.0,1.0,3.42,6.1,银行间,财政部,年付,荷兰式招标,固定,2008,1.0,1,3.42,5.9,1.0
2008年记账式（十期）国债,266.5,100.0,10.0,4.41,6.23,银行间,财政部,年付,荷兰式招标,固定,2008,1.0,1,4.41,5.9,8.298349807227801
2008年记账式（十一期）国债,245.9,100.0,3.0,3.92,7.14,银行间,财政部,年付,荷兰式招标,固定,2008,1.0,1,3.92,5.9,2.8882589260051406
2008年记账式（十二期）国债,260.0,98.35,0.5,0.0,7.24,银行间,财政部,贴现,美国式招标,贴现,2008,0.5,1,3.3835096582167212,5.9,0.5
2008年记账式(十三期)国债,240.0,100.0,20.0,4.94,8.11,银行间,财政部,半年付,荷兰式招标,固定,2008,0.5,1,5.0010089999999785,5.9,12.993200910318485
2008年记账式（十四期）国债,266.0,100.0,7.0,4.23,8.18,银行间,财政部,年付,荷兰式招标,固定,2008,1.0,1,4.23,5.9,6.203112152588717
2008年记账式（十五期）国债,200.0,99.22,0.25,0.0,8.25,银行间,财政部,贴现,美国式招标,贴现,2008,0.25,1,3.1818022228643716,5.9,0.25
2008年记账式（十六期）国债,259.9,100.0,1.0,3.34,9.8,银行间,财政部,年付,荷兰式招标,固定,2008,1.0,1,3.34,5.9,0.9999999999999999
2008年记账式（十七期）国债,260.0,100.0,5.0,3.69,9.16,银行间,财政部,年付,荷兰式招标,固定,2008,1.0,1,3.69,5.9,4.656572045343151
2008年记账式(十八期)国债,243.6,100.0,10.0,3.68,9.22,银行间,财政部,半年付,多种价格（混合式）招标,固定,2008,0.5,1,3.7138560000000043,5.9,8.470061829220656
2008年记账式(十九期)国债,233.8,100.0,3.0,2.64,10.13,银行间,财政部,年付,荷兰式招标,固定,2008,1.0,1,2.64,5.9,2.923498668662509
2008年记账式(二十期)国债,240.0,100.0,30.0,3.91,10.23,银行间,财政部,年付,多种价格（混合式）招标,固定,2008,1.0,1,3.91,5.9,18.16613989013539
2008年记账式(二十一期)国债,240.0,99.52,0.25,0.0,11.13,银行间,财政部,贴现,美国式招标,贴现,2008,0.25,1,1.9432630563180897,5.9,0.25
2008年记账式(二十二期)国债,225.0,100.0,7.0,2.71,11.24,银行间,财政部,年付,多种价格（混合式）招标,固定,2008,1.0,1,2.71,5.9,6.469648709434783
2008年记账式(二十三期)国债,240.0,100.0,15.0,3.62,11.27,银行间,财政部,半年付,荷兰式招标,固定,2008,0.5,1,3.6527610000000044,5.9,11.731146598869156
2008年记账式(二十四期)国债,238.2,100.0,1.0,1.28,12.08,银行间,财政部,年付,多种价格（混合式）招标,固定,2008,1.0,1,1.28,5.9,1.0000000000000002
2008年记账式(二十五期)国债,253.7,100.0,10.0,2.9,12.15,银行间,财政部,半年付,多种价格（混合式）招标,固定,2008,0.5,1,2.9210249999999993,5.9,8.760957482049319
2008年记账式(二十六期)国债,260.0,100.0,5.0,1.77,12.18,银行间,财政部,年付,多种价格（混合式）招标,固定,2008,1.0,1,1.77,5.9,4.829077070951822
2009年记账式(一期)国债,269.3,100.0,7.0,2.76,2.12,银行间,财政部,年付,多种价格（混合式）招标,固定,2009,1.0,1,2.76,-0.7,6.460548629346091
2009年记账式(二期)国债,220.0,100.0,20.0,3.86,2.19,银行间,财政部,半年付,多种价格（混合式）招标,固定,2009,0.5,1,3.8972490000000137,-0.7,14.16078154055687
2009年记账式(三期)国债,260.0,100.0,10.0,3.05,3.12,银行间,财政部,半年付,荷兰式招标,固定,2009,0.5,1,3.0732562499999894,-0.7,8.70374472521847
2009年记账式附息（四期）国债,564.3,99.69,5.0,0.0,4.2,银行间,财政部,年付,荷兰式招标,固定,2009,1.0,1,0.0,-0.7,5.0155481994181965
2009年记账式附息(五期)国债,220.0,,,,,,,,,,2009,0.0,0,0.0,-0.7,0.0
2009年记账式附息(六期)国债,252.1,100.0,7.0,2.82,4.16,银行间,财政部,年付,多种价格（混合式）招标,固定,2009,1.0,1,2.82,-0.7,6.449659301287198
2009年记账式附息（七期）国债,277.6,100.0,10.0,3.02,5.7,银行间,财政部,半年付,荷兰式招标,固定,2009,0.5,1,3.042800999999984,-0.7,8.715137905861726
2009年记账式附息(八期)国债,285.9,100.0,1.0,0.89,5.14,银行间,财政部,年付,荷兰式招标,固定,2009,1.0,1,0.89,-0.7,1.0000000000000002
2009年记账式附息（九期）国债,273.0,100.0,3.0,1.55,5.21,银行间,财政部,年付,荷兰式招标,固定,2009,1.0,1,1.55,-0.7,2.954442720791784
2009年记账式附息(十期)国债,295.0,100.0,5.0,2.26,6.4,银行间,财政部,年付,多种价格（混合式）招标,固定,2009,1.0,1,2.26,-0.7,4.783825318144035
2009年记账式附息(十一期)国债　,280.0,100.0,15.0,3.69,6.11,银行间,财政部,年付,多种价格（混合式）招标,固定,2009,1.0,1,3.69,-0.7,11.782629361967693
2009年记账式附息(十二期)国债,282.7,100.0,10.0,3.09,6.18,银行间,财政部,半年付,荷兰式招标,固定,2009,0.5,1,3.1138702499999837,-0.7,8.68859200336371
2009年记账式附息（十三期）国债,280.0,100.0,7.0,2.82,6.25,银行间,财政部,年付,荷兰式招标,固定,2009,1.0,1,2.82,-0.7,6.449659301287198
2009年记账式附息（十四期）国债,275.2,100.0,1.0,1.06,7.9,银行间,财政部,年付,荷兰式招标,固定,2009,1.0,1,1.06,-0.7,1.0
